"","Damage","Year","Month","Targetspp","POINT_X","POINT_Y","PTX","PTY","Bear_abund","Landcover_code","Altitude","Human_population","Dist_to_forest","Dist_to_town","Livestock_killed","Numberdamageperplot","ShannonDivIndex","prop_arable","prop_orchards","prop_pasture","prop_ag_mosaic","prop_seminatural","prop_deciduous","prop_coniferous","prop_mixedforest","prop_grassland","prop_for_regen","Landcover_2","Prop_natural","Prop_ag","Prop_gras","Hunting","Prop_open","Prop_forest"
"395",1,"2009","7","bovine",628174,479385,628186,479481,25,"313",666,0,0,695.869727,6,6,1.440075,0,0,10.831,0,4.292,5.293,15.493,50.232,0,13.859,"310",18.151,0,10.831,1,10.831,71.018
"396",1,"2009","8","bovine",628180,479374,628203,479413,25,"313",666,0,0,707.052445,6,6,1.440075,0,0,10.831,0,4.292,5.293,15.493,50.232,0,13.859,"310",18.151,0,10.831,1,10.831,71.018
"397",1,"2009","6","bovine",628186,479394,628236,479470,25,"313",666,0,0,687.309837,6,6,1.440075,0,0,10.831,0,4.292,5.293,15.493,50.232,0,13.859,"310",18.151,0,10.831,1,10.831,71.018
"398",1,"2009","7","bovine",628186,479385,628286,479422,25,"313",666,0,0,696.300793,6,6,1.440075,0,0,10.831,0,4.292,5.293,15.493,50.232,0,13.859,"310",18.151,0,10.831,1,10.831,71.018
"399",1,"2013","5","bovine",628541,479273,628565,479367,25,"231",676,0,150.694248,891.279437,6,6,1.440075,0,0,10.831,0,4.292,5.293,15.493,50.232,0,13.859,"231",18.151,0,10.831,1,10.831,71.018
"400",1,"2009","8","bovine",628620,480161,628631,480162,25,"313",505,247,0,89.219829,6,6,1.52473,0,0,12.033,41.811,4.064,23.526,0,11.741,0,0,"310",4.064,41.811,12.033,1,12.033,35.267
"401",1,"2008","8","bovine",629573,479238,629616,479313,25,"243",636,0,308.959163,924.056103,1,1,1.180317,0,0,18.495,0,34.328,42.756,0,4.42,0,0,"240",34.328,0,18.495,1,18.495,47.176
"402",1,"2016","4","bovine",635675.6109,509880.4957,635754.6109,509946.4957,21,"313",514,0,0,2220.757904,2,2,0.564448,0,0,0,0,0,0.351,0,82.761,3.611,13.276,"310",13.276,0,3.611,0,3.611,83.112
"403",1,"2016","5","bovine",635675.6109,509880.4957,635767.6109,509910.4957,21,"313",514,0,0,2220.757904,2,2,0.564448,0,0,0,0,0,0.351,0,82.761,3.611,13.276,"310",13.276,0,3.611,0,3.611,83.112
"404",1,"2015","7","bovine",635930,457691,635980,457692,23,"312",665,132,0,427.555774,1,1,1.191834,0,0,46.064,0,29.777,19.984,3.426,0,0,0,"310",29.777,0,46.064,1,46.064,23.41
"405",1,"2010","4","bovine",639565,471564,639633,471587,26,"243",687,22,21.744567,906.308489,5,5,1.107544,0,0,5.659,0,27.05,54.671,0,12.62,0,0,"240",27.05,0,5.659,1,5.659,67.291
"406",1,"2010","4","bovine",640094,470795,640134,470813,26,"311",574,4,0,0,5,5,1.107544,0,0,5.659,0,27.05,54.671,0,12.62,0,0,"310",27.05,0,5.659,1,5.659,67.291
